IDUnidadeconsumidora,Consumo,Cidade,Estado,Bairro,Lugradouro,Numero,Complemento,DataIntalacao,IDCliente
10080,193,Rio de Janeiro,RJ,Laranjeiras,Rua Pereira da Silva,88,447,09/06/2011,401
10081,226,Rio de Janeiro,RJ,Laranjeiras,Rua Pereira da Silva,239,225,08/31/2018,767
10082,130,Rio de Janeiro,RJ,Laranjeiras,Rua Pereira da Silva,194,398,01/08/2010,446
10083,109,Rio de Janeiro,RJ,Laranjeiras,Rua Pereira da Silva,488,808,08/13/2018,327
10084,264,Rio de Janeiro,RJ,Laranjeiras,Rua das Laranjeiras,374,706,05/01/2011,737
10085,283,Rio de Janeiro,RJ,Laranjeiras,Rua das Laranjeiras,173,331,11/05/2013,1094
10086,258,Rio de Janeiro,RJ,Laranjeiras,Rua Pereira da Silva,197,679,12/29/2019,206
10087,137,Rio de Janeiro,RJ,Laranjeiras,Rua das Laranjeiras,262,444,05/06/2014,915
10088,132,Rio de Janeiro,RJ,Laranjeiras,Rua das Laranjeiras,239,459,07/28/2011,723
10089,133,Rio de Janeiro,RJ,Laranjeiras,Rua das Laranjeiras,219,881,02/08/2014,569
10090,283,Rio de Janeiro,RJ,Laranjeiras,Rua Pereira da Silva,403,190,10/28/2018,628
10091,204,Rio de Janeiro,RJ,Laranjeiras,Rua Pereira da Silva,386,416,06/14/2011,168
10092,178,Rio de Janeiro,RJ,Laranjeiras,Rua das Laranjeiras,108,371,01/31/2011,742
10093,184,Rio de Janeiro,RJ,Laranjeiras,Rua Pereira da Silva,366,324,04/28/2011,397
10094,104,Rio de Janeiro,RJ,Laranjeiras,Rua das Laranjeiras,454,906,05/25/2013,1025
10095,270,Rio de Janeiro,RJ,Laranjeiras,Rua Pereira da Silva,209,228,08/04/2013,338
10096,124,Rio de Janeiro,RJ,Laranjeiras,Rua das Laranjeiras,246,302,12/13/2012,899
10097,224,Rio de Janeiro,RJ,Laranjeiras,Rua das Laranjeiras,83,308,05/22/2010,967
10098,95,Rio de Janeiro,RJ,Laranjeiras,Rua das Laranjeiras,311,458,03/12/2017,166
10099,136,Rio de Janeiro,RJ,Laranjeiras,Rua Pereira da Silva,106,428,09/02/2014,305
10100,161,Rio de Janeiro,RJ,Laranjeiras,Rua das Laranjeiras,489,788,04/18/2017,856
10101,262,Rio de Janeiro,RJ,Laranjeiras,Rua Pereira da Silva,164,804,10/22/2015,685
10102,181,Rio de Janeiro,RJ,Laranjeiras,Rua Pereira da Silva,414,737,03/28/2016,206
10103,175,Rio de Janeiro,RJ,Laranjeiras,Rua Pereira da Silva,166,435,10/16/2012,145
10104,275,Rio de Janeiro,RJ,Laranjeiras,Rua das Laranjeiras,401,868,11/17/2016,748
10105,295,Rio de Janeiro,RJ,Laranjeiras,Rua Pereira da Silva,184,850,04/28/2012,207
10106,168,Rio de Janeiro,RJ,Laranjeiras,Rua das Laranjeiras,82,626,04/19/2017,541
10107,130,Rio de Janeiro,RJ,Laranjeiras,Rua das Laranjeiras,349,914,10/28/2010,1024
10108,137,Rio de Janeiro,RJ,Laranjeiras,Rua das Laranjeiras,470,598,11/25/2017,655
10109,125,Rio de Janeiro,RJ,Laranjeiras,Rua Pereira da Silva,453,870,07/03/2014,836
10110,106,Rio de Janeiro,RJ,Laranjeiras,Rua das Laranjeiras,270,523,03/23/2016,1039
10111,216,Rio de Janeiro,RJ,Laranjeiras,Rua Pereira da Silva,209,173,06/05/2019,974
10112,131,Rio de Janeiro,RJ,Laranjeiras,Rua das Laranjeiras,444,478,03/22/2018,951
10113,260,Rio de Janeiro,RJ,Laranjeiras,Rua Pereira da Silva,476,618,03/31/2013,296
10114,115,Rio de Janeiro,RJ,Laranjeiras,Rua das Laranjeiras,204,312,03/19/2010,470
10115,257,Rio de Janeiro,RJ,Laranjeiras,Rua Pereira da Silva,156,551,07/28/2012,455
10116,168,Rio de Janeiro,RJ,Laranjeiras,Rua das Laranjeiras,493,476,07/20/2016,295
10117,296,Rio de Janeiro,RJ,Laranjeiras,Rua das Laranjeiras,357,287,04/11/2010,655
10118,202,Rio de Janeiro,RJ,Laranjeiras,Rua Pereira da Silva,144,433,10/15/2011,371
10119,184,Rio de Janeiro,RJ,Laranjeiras,Rua Pereira da Silva,456,151,05/17/2015,938
10120,265,Rio de Janeiro,RJ,Laranjeiras,Rua Pereira da Silva,146,661,11/15/2012,1090
10121,146,Rio de Janeiro,RJ,Laranjeiras,Rua das Laranjeiras,87,291,02/11/2017,494
10122,139,Rio de Janeiro,RJ,Laranjeiras,Rua das Laranjeiras,79,368,08/04/2011,651
10123,169,Rio de Janeiro,RJ,Laranjeiras,Rua das Laranjeiras,324,226,09/20/2014,308
10124,174,Rio de Janeiro,RJ,Laranjeiras,Rua das Laranjeiras,75,776,04/15/2014,661
10125,164,Rio de Janeiro,RJ,Laranjeiras,Rua das Laranjeiras,483,841,11/30/2017,476
10126,289,Rio de Janeiro,RJ,Laranjeiras,Rua das Laranjeiras,215,758,03/06/2019,437
10127,269,Rio de Janeiro,RJ,Laranjeiras,Rua Pereira da Silva,56,122,03/21/2014,614
10128,252,Rio de Janeiro,RJ,Laranjeiras,Rua das Laranjeiras,264,913,10/16/2015,333
10129,238,Rio de Janeiro,RJ,Laranjeiras,Rua Pereira da Silva,50,685,01/12/2017,442
10130,261,Rio de Janeiro,RJ,Laranjeiras,Rua Pereira da Silva,258,624,09/11/2019,650
10131,215,Rio de Janeiro,RJ,Laranjeiras,Rua das Laranjeiras,290,395,10/16/2015,240
10132,180,Rio de Janeiro,RJ,Laranjeiras,Rua das Laranjeiras,385,802,10/19/2016,702
10133,281,Rio de Janeiro,RJ,Laranjeiras,Rua Pereira da Silva,388,637,01/26/2018,501
10134,296,Rio de Janeiro,RJ,Laranjeiras,Rua Pereira da Silva,273,174,01/31/2010,678
10135,197,Rio de Janeiro,RJ,Laranjeiras,Rua das Laranjeiras,193,492,11/23/2014,984
10136,299,Rio de Janeiro,RJ,Laranjeiras,Rua das Laranjeiras,383,578,06/26/2014,896
10137,150,Rio de Janeiro,RJ,Laranjeiras,Rua Pereira da Silva,196,590,08/27/2018,489
10138,245,Rio de Janeiro,RJ,Laranjeiras,Rua das Laranjeiras,312,700,12/19/2014,857
10139,179,Rio de Janeiro,RJ,Laranjeiras,Rua Pereira da Silva,68,479,06/07/2018,801
10140,287,Rio de Janeiro,RJ,Laranjeiras,Rua das Laranjeiras,452,582,03/11/2019,183
10141,233,Rio de Janeiro,RJ,Laranjeiras,Rua Pereira da Silva,494,589,02/21/2011,703
10142,246,Rio de Janeiro,RJ,Laranjeiras,Rua das Laranjeiras,296,435,07/10/2011,852
10143,227,Rio de Janeiro,RJ,Laranjeiras,Rua Pereira da Silva,129,118,08/09/2017,786
10144,238,Rio de Janeiro,RJ,Laranjeiras,Rua das Laranjeiras,363,685,02/16/2012,701
10145,194,Rio de Janeiro,RJ,Laranjeiras,Rua das Laranjeiras,125,782,01/19/2016,876
10146,222,Rio de Janeiro,RJ,Laranjeiras,Rua das Laranjeiras,480,451,09/16/2018,421
10147,232,Rio de Janeiro,RJ,Laranjeiras,Rua das Laranjeiras,249,719,01/25/2019,108
10148,188,Rio de Janeiro,RJ,Laranjeiras,Rua das Laranjeiras,224,233,01/01/2013,176
10149,130,Rio de Janeiro,RJ,Laranjeiras,Rua Pereira da Silva,460,330,11/05/2019,460
10150,298,Rio de Janeiro,RJ,Laranjeiras,Rua das Laranjeiras,337,186,06/11/2015,928
10151,95,Rio de Janeiro,RJ,Laranjeiras,Rua das Laranjeiras,231,371,07/07/2018,557
10152,211,Rio de Janeiro,RJ,Laranjeiras,Rua das Laranjeiras,374,230,10/07/2012,172
10153,152,Rio de Janeiro,RJ,Laranjeiras,Rua Pereira da Silva,401,730,06/15/2012,955
10154,105,Rio de Janeiro,RJ,Laranjeiras,Rua Pereira da Silva,189,871,02/27/2014,563
10155,282,Rio de Janeiro,RJ,Laranjeiras,Rua Pereira da Silva,440,598,06/04/2016,824
10156,299,Rio de Janeiro,RJ,Laranjeiras,Rua Pereira da Silva,347,777,10/28/2016,607
10157,176,Rio de Janeiro,RJ,Laranjeiras,Rua das Laranjeiras,355,164,11/30/2011,105
10158,106,Rio de Janeiro,RJ,Laranjeiras,Rua Pereira da Silva,55,619,08/11/2017,608
10159,266,Rio de Janeiro,RJ,Laranjeiras,Rua Pereira da Silva,286,141,01/28/2010,536
10160,241,Rio de Janeiro,RJ,Laranjeiras,Rua das Laranjeiras,66,512,04/20/2011,993
10161,141,Rio de Janeiro,RJ,Laranjeiras,Rua das Laranjeiras,187,379,02/12/2012,824
10162,261,Rio de Janeiro,RJ,Laranjeiras,Rua das Laranjeiras,265,138,05/02/2017,704
10163,121,Rio de Janeiro,RJ,Laranjeiras,Rua das Laranjeiras,425,696,09/05/2015,376
10164,127,Rio de Janeiro,RJ,Laranjeiras,Rua Pereira da Silva,260,811,03/31/2017,998
10165,207,Rio de Janeiro,RJ,Laranjeiras,Rua das Laranjeiras,95,322,08/15/2018,775
10166,190,Rio de Janeiro,RJ,Laranjeiras,Rua das Laranjeiras,191,912,04/20/2017,478
10167,118,Rio de Janeiro,RJ,Laranjeiras,Rua Pereira da Silva,430,806,12/02/2010,548
10168,179,Rio de Janeiro,RJ,Laranjeiras,Rua Pereira da Silva,186,321,04/18/2011,787
10169,209,Rio de Janeiro,RJ,Laranjeiras,Rua das Laranjeiras,352,733,06/21/2019,481
10170,261,Rio de Janeiro,RJ,Laranjeiras,Rua Pereira da Silva,104,872,06/09/2017,363
10171,258,Rio de Janeiro,RJ,Laranjeiras,Rua Pereira da Silva,278,464,04/01/2014,707
10172,250,Rio de Janeiro,RJ,Laranjeiras,Rua Pereira da Silva,112,815,07/03/2018,547
10173,232,Rio de Janeiro,RJ,Laranjeiras,Rua das Laranjeiras,388,200,07/26/2017,965
10174,287,Rio de Janeiro,RJ,Laranjeiras,Rua das Laranjeiras,354,411,08/16/2014,1024
10175,287,Rio de Janeiro,RJ,Laranjeiras,Rua Pereira da Silva,246,478,02/10/2018,1096
10176,178,Rio de Janeiro,RJ,Laranjeiras,Rua Pereira da Silva,355,237,02/03/2017,1010
10177,225,Rio de Janeiro,RJ,Laranjeiras,Rua das Laranjeiras,145,119,03/13/2019,923
10178,190,Rio de Janeiro,RJ,Laranjeiras,Rua Pereira da Silva,438,698,11/05/2014,216
10179,99,Rio de Janeiro,RJ,Laranjeiras,Rua das Laranjeiras,340,636,09/12/2010,305
10180,250,Rio de Janeiro,RJ,Laranjeiras,Rua Pereira da Silva,122,757,01/11/2011,541
10181,197,Rio de Janeiro,RJ,Laranjeiras,Rua Pereira da Silva,173,459,09/24/2019,820
10182,251,Rio de Janeiro,RJ,Laranjeiras,Rua Pereira da Silva,468,331,04/07/2017,703
10183,160,Rio de Janeiro,RJ,Laranjeiras,Rua Pereira da Silva,50,544,04/19/2018,942
10184,158,Rio de Janeiro,RJ,Laranjeiras,Rua das Laranjeiras,343,599,10/23/2019,379
10185,262,Rio de Janeiro,RJ,Laranjeiras,Rua das Laranjeiras,170,493,12/27/2013,1034
10186,235,Rio de Janeiro,RJ,Laranjeiras,Rua das Laranjeiras,60,566,07/15/2018,901
10187,125,Rio de Janeiro,RJ,Laranjeiras,Rua das Laranjeiras,132,607,08/16/2018,990
10188,166,Rio de Janeiro,RJ,Laranjeiras,Rua das Laranjeiras,399,713,10/01/2013,509
10189,205,Rio de Janeiro,RJ,Laranjeiras,Rua Pereira da Silva,290,799,12/16/2012,168
10190,187,Rio de Janeiro,RJ,Laranjeiras,Rua das Laranjeiras,116,360,03/15/2010,879
10191,180,Rio de Janeiro,RJ,Laranjeiras,Rua das Laranjeiras,97,136,03/03/2019,440
10192,226,Rio de Janeiro,RJ,Laranjeiras,Rua das Laranjeiras,172,413,07/24/2013,1051
10193,220,Rio de Janeiro,RJ,Laranjeiras,Rua Pereira da Silva,450,800,08/12/2015,616
10194,130,Rio de Janeiro,RJ,Laranjeiras,Rua das Laranjeiras,80,285,02/07/2018,912
10195,296,Rio de Janeiro,RJ,Laranjeiras,Rua Pereira da Silva,206,669,04/21/2010,215
10196,182,Rio de Janeiro,RJ,Laranjeiras,Rua Pereira da Silva,341,834,05/16/2011,629
10197,261,Rio de Janeiro,RJ,Laranjeiras,Rua das Laranjeiras,284,338,08/25/2018,131
10198,134,Rio de Janeiro,RJ,Laranjeiras,Rua das Laranjeiras,72,549,03/03/2011,241
10199,214,Rio de Janeiro,RJ,Laranjeiras,Rua das Laranjeiras,260,329,02/26/2014,375
10200,192,Rio de Janeiro,RJ,Laranjeiras,Rua Pereira da Silva,458,495,07/06/2014,705
10201,104,Rio de Janeiro,RJ,Laranjeiras,Rua das Laranjeiras,93,230,10/28/2012,677
10202,102,Rio de Janeiro,RJ,Laranjeiras,Rua Pereira da Silva,263,424,05/25/2010,1098
10203,136,Rio de Janeiro,RJ,Laranjeiras,Rua Pereira da Silva,134,193,01/16/2010,770
10204,128,Rio de Janeiro,RJ,Laranjeiras,Rua Pereira da Silva,116,121,11/12/2012,689
10205,297,Rio de Janeiro,RJ,Laranjeiras,Rua das Laranjeiras,496,518,05/22/2011,761
10206,249,Rio de Janeiro,RJ,Laranjeiras,Rua das Laranjeiras,394,483,12/02/2010,341
10207,184,Rio de Janeiro,RJ,Laranjeiras,Rua das Laranjeiras,181,635,04/18/2012,1052
10208,97,Rio de Janeiro,RJ,Laranjeiras,Rua Pereira da Silva,367,641,03/27/2010,898
10209,226,Rio de Janeiro,RJ,Laranjeiras,Rua Pereira da Silva,497,708,07/07/2011,469
10210,138,Rio de Janeiro,RJ,Laranjeiras,Rua das Laranjeiras,264,506,03/21/2014,751
10211,295,Rio de Janeiro,RJ,Laranjeiras,Rua Pereira da Silva,274,189,09/06/2016,174
10212,275,Rio de Janeiro,RJ,Laranjeiras,Rua Pereira da Silva,405,479,04/18/2018,445
10213,151,Rio de Janeiro,RJ,Laranjeiras,Rua Pereira da Silva,390,788,06/30/2015,559
10214,108,Rio de Janeiro,RJ,Laranjeiras,Rua das Laranjeiras,169,813,01/17/2016,661
10215,188,Rio de Janeiro,RJ,Laranjeiras,Rua Pereira da Silva,176,425,04/15/2013,696
10216,226,Rio de Janeiro,RJ,Laranjeiras,Rua Pereira da Silva,299,267,07/04/2016,197
10217,110,Rio de Janeiro,RJ,Laranjeiras,Rua Pereira da Silva,95,401,01/14/2014,405
10218,105,Rio de Janeiro,RJ,Laranjeiras,Rua Pereira da Silva,68,187,07/26/2010,217
10219,251,Rio de Janeiro,RJ,Laranjeiras,Rua das Laranjeiras,170,728,02/07/2013,640
10220,129,Rio de Janeiro,RJ,Laranjeiras,Rua das Laranjeiras,211,112,10/09/2011,298
10221,126,Rio de Janeiro,RJ,Laranjeiras,Rua Pereira da Silva,160,260,04/20/2013,511
10222,114,Rio de Janeiro,RJ,Laranjeiras,Rua Pereira da Silva,491,858,03/12/2011,703
10223,143,Rio de Janeiro,RJ,Laranjeiras,Rua das Laranjeiras,132,439,12/06/2014,771
10224,155,Rio de Janeiro,RJ,Laranjeiras,Rua das Laranjeiras,468,411,08/31/2016,519
10225,92,Rio de Janeiro,RJ,Laranjeiras,Rua das Laranjeiras,381,644,10/13/2011,870
10226,188,Rio de Janeiro,RJ,Laranjeiras,Rua das Laranjeiras,95,508,08/28/2010,982
10227,181,Rio de Janeiro,RJ,Laranjeiras,Rua das Laranjeiras,208,616,06/12/2016,575
10228,219,Rio de Janeiro,RJ,Laranjeiras,Rua Pereira da Silva,314,802,05/19/2011,1002
10229,220,Rio de Janeiro,RJ,Laranjeiras,Rua Pereira da Silva,452,140,05/04/2016,468
10230,272,Rio de Janeiro,RJ,Laranjeiras,Rua Pereira da Silva,374,624,11/15/2019,299
10231,169,Rio de Janeiro,RJ,Laranjeiras,Rua das Laranjeiras,427,774,05/14/2011,404
10232,118,Rio de Janeiro,RJ,Laranjeiras,Rua Pereira da Silva,351,111,02/06/2019,663
10233,263,Rio de Janeiro,RJ,Laranjeiras,Rua Pereira da Silva,418,109,04/30/2012,244
10234,207,Rio de Janeiro,RJ,Laranjeiras,Rua Pereira da Silva,120,635,12/12/2019,719
10235,139,Rio de Janeiro,RJ,Laranjeiras,Rua das Laranjeiras,356,652,05/01/2010,522
10236,292,Rio de Janeiro,RJ,Laranjeiras,Rua Pereira da Silva,270,359,09/27/2016,341
10237,174,Rio de Janeiro,RJ,Laranjeiras,Rua Pereira da Silva,69,158,12/23/2016,564
10238,295,Rio de Janeiro,RJ,Laranjeiras,Rua das Laranjeiras,382,385,06/27/2015,1033
10239,113,Rio de Janeiro,RJ,Laranjeiras,Rua das Laranjeiras,479,411,11/14/2012,404
10240,271,Rio de Janeiro,RJ,Laranjeiras,Rua Pereira da Silva,499,743,07/27/2012,629
10241,96,Rio de Janeiro,RJ,Laranjeiras,Rua das Laranjeiras,189,837,09/23/2014,924
10242,124,Rio de Janeiro,RJ,Laranjeiras,Rua das Laranjeiras,245,785,11/09/2017,244
10243,265,Rio de Janeiro,RJ,Laranjeiras,Rua das Laranjeiras,453,728,04/24/2017,971
10244,284,Rio de Janeiro,RJ,Laranjeiras,Rua das Laranjeiras,411,259,10/21/2014,818
10245,131,Rio de Janeiro,RJ,Laranjeiras,Rua das Laranjeiras,337,683,11/17/2016,228
10246,201,Rio de Janeiro,RJ,Laranjeiras,Rua Pereira da Silva,314,250,09/27/2012,967
10247,241,Rio de Janeiro,RJ,Laranjeiras,Rua Pereira da Silva,402,647,12/19/2015,1035
10248,246,Rio de Janeiro,RJ,Laranjeiras,Rua Pereira da Silva,335,586,12/14/2017,1039
10249,232,Rio de Janeiro,RJ,Laranjeiras,Rua das Laranjeiras,337,618,04/19/2011,828
10250,166,Rio de Janeiro,RJ,Laranjeiras,Rua Pereira da Silva,329,449,11/05/2017,216
10251,288,Rio de Janeiro,RJ,Laranjeiras,Rua Pereira da Silva,318,145,02/27/2018,837
10252,139,Rio de Janeiro,RJ,Laranjeiras,Rua das Laranjeiras,292,609,05/19/2013,381
10253,209,Rio de Janeiro,RJ,Laranjeiras,Rua das Laranjeiras,377,478,01/03/2015,299
10254,197,Rio de Janeiro,RJ,Laranjeiras,Rua Pereira da Silva,143,414,04/25/2016,529
10255,203,Rio de Janeiro,RJ,Laranjeiras,Rua das Laranjeiras,249,356,11/28/2010,646
10256,268,Rio de Janeiro,RJ,Laranjeiras,Rua Pereira da Silva,216,647,01/06/2016,164
10257,113,Rio de Janeiro,RJ,Laranjeiras,Rua das Laranjeiras,462,515,05/01/2010,954
10258,174,Rio de Janeiro,RJ,Laranjeiras,Rua Pereira da Silva,412,721,08/06/2019,150
10259,95,Rio de Janeiro,RJ,Laranjeiras,Rua das Laranjeiras,95,273,01/27/2015,514
10260,138,Rio de Janeiro,RJ,Laranjeiras,Rua Pereira da Silva,56,847,02/06/2010,802
10261,141,Rio de Janeiro,RJ,Laranjeiras,Rua das Laranjeiras,82,282,06/12/2014,772
10262,192,Rio de Janeiro,RJ,Laranjeiras,Rua das Laranjeiras,73,123,03/07/2011,623
10263,227,Rio de Janeiro,RJ,Laranjeiras,Rua das Laranjeiras,423,549,11/03/2014,339
10264,150,Rio de Janeiro,RJ,Laranjeiras,Rua das Laranjeiras,181,844,07/22/2019,974
10265,291,Rio de Janeiro,RJ,Laranjeiras,Rua das Laranjeiras,384,133,01/05/2010,982
