IDUnidadeconsumidora,Consumo,Cidade,Estado,Bairro,Lugradouro,Numero,Complemento,DataIntalacao,IDCliente
10505,216,Rio de Janeiro,RJ,Botafogo,Rua Voluntário da Pátria,234,338,09/09/2015,957
10506,154,Rio de Janeiro,RJ,Botafogo,Rua São Clemente,344,636,07/29/2019,980
10507,210,Rio de Janeiro,RJ,Botafogo,Rua Voluntário da Pátria,438,316,11/03/2016,392
10508,98,Rio de Janeiro,RJ,Botafogo,Rua Voluntário da Pátria,76,244,02/09/2017,1044
10509,101,Rio de Janeiro,RJ,Botafogo,Rua São Clemente,138,804,12/20/2013,771
10510,220,Rio de Janeiro,RJ,Botafogo,Rua São Clemente,321,562,06/23/2016,1012
10511,154,Rio de Janeiro,RJ,Botafogo,Rua São Clemente,315,591,06/05/2010,1013
10512,265,Rio de Janeiro,RJ,Botafogo,Rua São Clemente,492,622,03/05/2015,148
10513,220,Rio de Janeiro,RJ,Botafogo,Rua São Clemente,348,510,10/16/2010,233
10514,200,Rio de Janeiro,RJ,Botafogo,Rua Voluntário da Pátria,102,867,12/09/2016,545
10515,216,Rio de Janeiro,RJ,Botafogo,Rua São Clemente,418,595,10/26/2012,550
10516,211,Rio de Janeiro,RJ,Botafogo,Rua Voluntário da Pátria,150,814,01/25/2012,803
10517,188,Rio de Janeiro,RJ,Botafogo,Rua São Clemente,141,314,04/07/2015,718
10518,263,Rio de Janeiro,RJ,Botafogo,Rua São Clemente,156,622,11/13/2019,735
10519,183,Rio de Janeiro,RJ,Botafogo,Rua Voluntário da Pátria,261,347,06/27/2014,390
10520,140,Rio de Janeiro,RJ,Botafogo,Rua Voluntário da Pátria,284,913,04/05/2013,503
10521,123,Rio de Janeiro,RJ,Botafogo,Rua Voluntário da Pátria,219,745,05/23/2010,811
10522,286,Rio de Janeiro,RJ,Botafogo,Rua Voluntário da Pátria,387,280,02/11/2016,276
10523,102,Rio de Janeiro,RJ,Botafogo,Rua Voluntário da Pátria,261,638,01/01/2015,542
10524,176,Rio de Janeiro,RJ,Botafogo,Rua Voluntário da Pátria,459,481,03/19/2017,551
10525,153,Rio de Janeiro,RJ,Botafogo,Rua São Clemente,211,111,11/13/2010,857
10526,237,Rio de Janeiro,RJ,Botafogo,Rua Voluntário da Pátria,307,532,09/29/2015,1004
10527,110,Rio de Janeiro,RJ,Botafogo,Rua São Clemente,380,716,03/01/2012,857
10528,276,Rio de Janeiro,RJ,Botafogo,Rua Voluntário da Pátria,123,731,07/12/2019,1067
10529,279,Rio de Janeiro,RJ,Botafogo,Rua São Clemente,231,867,06/19/2018,551
10530,145,Rio de Janeiro,RJ,Botafogo,Rua São Clemente,146,855,05/24/2019,128
10531,299,Rio de Janeiro,RJ,Botafogo,Rua São Clemente,270,212,09/05/2010,823
10532,118,Rio de Janeiro,RJ,Botafogo,Rua Voluntário da Pátria,368,673,05/22/2010,230
10533,95,Rio de Janeiro,RJ,Botafogo,Rua São Clemente,412,902,01/31/2016,1008
10534,92,Rio de Janeiro,RJ,Botafogo,Rua Voluntário da Pátria,72,271,09/23/2013,730
10535,216,Rio de Janeiro,RJ,Botafogo,Rua Voluntário da Pátria,288,718,01/26/2010,172
10536,132,Rio de Janeiro,RJ,Botafogo,Rua São Clemente,474,343,07/15/2019,406
10537,128,Rio de Janeiro,RJ,Botafogo,Rua São Clemente,96,545,05/05/2011,574
10538,239,Rio de Janeiro,RJ,Botafogo,Rua Voluntário da Pátria,272,696,04/20/2013,112
10539,265,Rio de Janeiro,RJ,Botafogo,Rua São Clemente,488,534,05/14/2013,1075
10540,258,Rio de Janeiro,RJ,Botafogo,Rua São Clemente,466,667,09/13/2010,129
10541,281,Rio de Janeiro,RJ,Botafogo,Rua Voluntário da Pátria,165,719,05/29/2018,808
10542,254,Rio de Janeiro,RJ,Botafogo,Rua Voluntário da Pátria,435,540,01/22/2018,411
10543,112,Rio de Janeiro,RJ,Botafogo,Rua São Clemente,500,179,12/25/2011,491
10544,118,Rio de Janeiro,RJ,Botafogo,Rua Voluntário da Pátria,65,848,12/02/2012,1091
10545,96,Rio de Janeiro,RJ,Botafogo,Rua Voluntário da Pátria,236,719,07/16/2018,709
10546,200,Rio de Janeiro,RJ,Botafogo,Rua Voluntário da Pátria,135,895,11/27/2011,946
10547,232,Rio de Janeiro,RJ,Botafogo,Rua Voluntário da Pátria,137,609,08/20/2017,412
10548,161,Rio de Janeiro,RJ,Botafogo,Rua Voluntário da Pátria,77,751,10/19/2010,797
10549,277,Rio de Janeiro,RJ,Botafogo,Rua Voluntário da Pátria,76,891,08/03/2017,520
10550,179,Rio de Janeiro,RJ,Botafogo,Rua Voluntário da Pátria,88,223,04/14/2017,413
10551,242,Rio de Janeiro,RJ,Botafogo,Rua São Clemente,400,727,01/30/2014,665
10552,211,Rio de Janeiro,RJ,Botafogo,Rua São Clemente,286,194,02/25/2012,128
10553,234,Rio de Janeiro,RJ,Botafogo,Rua São Clemente,90,167,10/09/2017,887
10554,298,Rio de Janeiro,RJ,Botafogo,Rua São Clemente,355,581,12/15/2015,259
10555,195,Rio de Janeiro,RJ,Botafogo,Rua São Clemente,309,469,06/23/2018,316
10556,280,Rio de Janeiro,RJ,Botafogo,Rua São Clemente,342,764,03/06/2014,782
10557,150,Rio de Janeiro,RJ,Botafogo,Rua São Clemente,260,273,01/13/2014,508
10558,212,Rio de Janeiro,RJ,Botafogo,Rua São Clemente,148,634,03/05/2012,910
10559,181,Rio de Janeiro,RJ,Botafogo,Rua São Clemente,484,352,12/20/2011,251
10560,210,Rio de Janeiro,RJ,Botafogo,Rua Voluntário da Pátria,299,602,05/06/2015,993
10561,158,Rio de Janeiro,RJ,Botafogo,Rua São Clemente,134,204,09/09/2010,169
10562,165,Rio de Janeiro,RJ,Botafogo,Rua São Clemente,234,618,10/23/2013,1097
10563,231,Rio de Janeiro,RJ,Botafogo,Rua Voluntário da Pátria,163,608,01/12/2011,599
10564,171,Rio de Janeiro,RJ,Botafogo,Rua São Clemente,293,283,01/28/2010,213
10565,253,Rio de Janeiro,RJ,Botafogo,Rua Voluntário da Pátria,174,351,08/20/2013,995
10566,187,Rio de Janeiro,RJ,Botafogo,Rua Voluntário da Pátria,445,482,02/26/2018,562
10567,244,Rio de Janeiro,RJ,Botafogo,Rua Voluntário da Pátria,445,907,12/24/2018,429
10568,193,Rio de Janeiro,RJ,Botafogo,Rua São Clemente,328,446,06/02/2013,954
10569,94,Rio de Janeiro,RJ,Botafogo,Rua São Clemente,83,916,02/20/2017,730
10570,168,Rio de Janeiro,RJ,Botafogo,Rua Voluntário da Pátria,344,368,05/29/2017,661
10571,163,Rio de Janeiro,RJ,Botafogo,Rua Voluntário da Pátria,85,294,08/13/2015,642
10572,235,Rio de Janeiro,RJ,Botafogo,Rua São Clemente,338,389,06/30/2012,819
10573,236,Rio de Janeiro,RJ,Botafogo,Rua São Clemente,490,216,05/23/2013,101
10574,125,Rio de Janeiro,RJ,Botafogo,Rua São Clemente,318,694,04/29/2012,769
10575,229,Rio de Janeiro,RJ,Botafogo,Rua Voluntário da Pátria,119,336,05/23/2010,434
10576,222,Rio de Janeiro,RJ,Botafogo,Rua Voluntário da Pátria,340,117,06/09/2015,1019
10577,120,Rio de Janeiro,RJ,Botafogo,Rua São Clemente,471,505,04/27/2018,470
10578,243,Rio de Janeiro,RJ,Botafogo,Rua Voluntário da Pátria,404,860,02/05/2015,1060
